No.     Time           Source                Destination           Protocol Length Info
     27 3.285721000    192.168.0.148         203.112.217.163       TCP      78     55630 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351102365 TSecr=0 SACK_PERM=1
     32 3.855925000    203.112.217.163       192.168.0.148         TCP      60     http > 55630 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
     35 3.856055000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
     36 3.858700000    192.168.0.148         203.112.217.163       HTTP     387    GET / HTTP/1.1 
     39 4.470863000    203.112.217.163       192.168.0.148         TCP      60     http > 55630 [ACK] Seq=1 Ack=334 Win=6432 Len=0
     40 4.620955000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
     41 4.621091000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
     42 4.621202000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=2921 Win=65535 Len=0
     43 4.634823000    192.168.0.148         203.112.217.163       TCP      78     55632 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351103705 TSecr=0 SACK_PERM=1
     44 4.635135000    192.168.0.148         203.112.217.163       TCP      78     55634 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351103705 TSecr=0 SACK_PERM=1
     45 4.635136000    192.168.0.148         203.112.217.163       TCP      78     55636 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351103705 TSecr=0 SACK_PERM=1
     49 5.098023000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
     50 5.098224000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
     51 5.098318000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=5841 Win=65535 Len=0
     52 5.098420000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
     53 5.100553000    192.168.0.148         203.112.217.163       TCP      78     55638 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351104168 TSecr=0 SACK_PERM=1
     54 5.125704000    203.112.217.163       192.168.0.148         TCP      60     http > 55632 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
     55 5.125821000    203.112.217.163       192.168.0.148         TCP      60     http > 55634 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
     56 5.125958000    192.168.0.148         203.112.217.163       TCP      54     55632 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
     57 5.126017000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
     58 5.127938000    192.168.0.148         203.112.217.163       HTTP     499    GET /templates/e_gov_tem_green/css/english.template_css.css HTTP/1.1 
     59 5.129507000    192.168.0.148         203.112.217.163       HTTP     461    GET /includes/ajax/ajaxController.js HTTP/1.1 
     60 5.137191000    203.112.217.163       192.168.0.148         TCP      60     http > 55636 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
     61 5.137458000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
     62 5.139403000    192.168.0.148         203.112.217.163       HTTP     462    GET /includes/js/joomla.javascript.js HTTP/1.1 
     63 5.202311000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=7301 Win=65535 Len=0
     72 5.701143000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
     73 5.701687000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
     74 5.701780000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=10221 Win=65535 Len=0
     75 5.702042000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
     76 5.702090000    203.112.217.163       192.168.0.148         TCP      60     http > 55638 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
     77 5.702218000    203.112.217.163       192.168.0.148         TCP      60     http > 55634 [ACK] Seq=1 Ack=446 Win=6432 Len=0
     78 5.702244000    192.168.0.148         203.112.217.163       TCP      54     55638 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
     79 5.702337000    203.112.217.163       192.168.0.148         TCP      307    [TCP segment of a reassembled PDU]
     80 5.702412000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=254 Win=65535 Len=0
     81 5.702681000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
     82 5.702735000    203.112.217.163       192.168.0.148         TCP      60     http > 55632 [ACK] Seq=1 Ack=408 Win=6432 Len=0
     83 5.702898000    203.112.217.163       192.168.0.148         TCP      321    [TCP segment of a reassembled PDU]
     84 5.703005000    192.168.0.148         203.112.217.163       TCP      54     55632 > http [ACK] Seq=408 Ack=268 Win=65535 Len=0
     85 5.703242000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
     86 5.703556000    203.112.217.163       192.168.0.148         HTTP     157    HTTP/1.1 200 OK  (application/x-javascript)
     87 5.703653000    203.112.217.163       192.168.0.148         TCP      60     http > 55636 [ACK] Seq=1 Ack=409 Win=6432 Len=0
     88 5.703672000    192.168.0.148         203.112.217.163       TCP      54     55632 > http [ACK] Seq=408 Ack=1832 Win=65535 Len=0
     89 5.703811000    203.112.217.163       192.168.0.148         TCP      323    [TCP segment of a reassembled PDU]
     90 5.703868000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=409 Ack=270 Win=65535 Len=0
     91 5.704325000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
     92 5.704869000    192.168.0.148         203.112.217.163       HTTP     488    GET /modules/english.mod_jflanguageselection.css HTTP/1.1 
     93 5.705008000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
     94 5.705070000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=13141 Win=65535 Len=0
     95 5.705572000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
     96 5.705985000    192.168.0.148         203.112.217.163       TCP      54     55632 > http [FIN, ACK] Seq=408 Ack=1832 Win=65535 Len=0
     97 5.806347000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=409 Ack=1730 Win=65535 Len=0
     98 5.806348000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=1714 Win=65535 Len=0
     99 5.806349000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=14601 Win=65535 Len=0
    102 6.180779000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    103 6.180884000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    104 6.181044000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=17521 Win=65535 Len=0
    105 6.181204000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    106 6.181332000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=18981 Win=65535 Len=0
    107 6.181540000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    108 6.181842000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    109 6.181920000    192.168.0.148         203.112.217.163       TCP      54     55634 > http [ACK] Seq=446 Ack=4634 Win=65535 Len=0
    110 6.182743000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    111 6.183042000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    112 6.183130000    192.168.0.148         203.112.217.163       TCP      54     55630 > http [ACK] Seq=334 Ack=21901 Win=65535 Len=0
    113 6.183346000    203.112.217.163       192.168.0.148         HTTP     1514   Continuation or non-HTTP traffic
    114 6.183433000    203.112.217.163       192.168.0.148         TCP      60     http > 55632 [ACK] Seq=1832 Ack=409 Win=6432 Len=0
    115 6.193070000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    116 6.193253000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    117 6.193328000    192.168.0.148         203.112.217.163       TCP      54     55636 > http [ACK] Seq=409 Ack=4650 Win=65535 Len=0
    118 6.201525000    203.112.217.163       192.168.0.148         TCP      60     http > 55638 [ACK] Seq=1 Ack=435 Win=6432 Len=0
